Produtos;Embal;Operacoeses Comerciais;Itens Vendidos;Quantidade;Valor;% Part.;Custo Total;$ Lucrativ.;% Lucrativ.;;;out/21;set/21;ago/21;jul/21;jun/21;mai/21;abr/21;mar/21;fev/21;jan/21;dez/20;nov/20;out/20;set/20;ago/20;jul/20;jun/20;mai/20;abr/20;mar/20;fev/20;jan/20;dez/19;nov/19;out/19;set/19;ago/19;jul/19;jun/19;mai/19;abr/19;mar/19;fev/19;jan/19;dez/18;nov/18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.05.020 - ESMALTE NOVA COR BRILH AZUL DEL REY  1/4 LUKS;UNIDA;6;5;6;R$ 145;20;0;40%;R$ 90;74;;R$ 54;46;6001;80%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;90;0;0;0;0;0;0;0;0;0;0;59;80;12;90;12;90;0;0;0;0;0;0;29;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - VERDE COLONIAL - W - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 145;12;0;40%;R$ 87;62;;R$ 57;50;6562;40%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25.09.017 - TELA FIX 100X30X5;UNIDA;2;2;5;R$ 145;0;0;40%;R$ 71;85;;R$ 73;15;10180;90%;;0;0;0;0;0;0;29;0;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SH.000 - CINZA PROFUNDO - LANGUAGE OF COLORS - - CORALIT ULTRA RESIST;3.2L;231;2;2;R$ 145;0;0;40%;R$ 82;71;;R$ 62;29;7531;10%;;0;0;145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - CINZA DORICO - XY - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;2;3;R$ 144;62;0;40%;R$ 79;89;;R$ 64;73;8102;40%;;0;0;0;0;0;0;0;0;48;0;96;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - GRAO DE AREIA - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 144;58;0;40%;R$ 91;61;;R$ 52;97;5782;10%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - GRUTA MISTERIOSA - W - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;1;1;R$ 144;54;0;40%;R$ 86;71;;R$ 57;83;6669;40%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - GALHO SECO - B2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;3;3;R$ 144;48;0;40%;R$ 77;43;;R$ 67;5;8659;40%;;56;36;0;0;0;0;0;0;0;0;0;0;0;0;47;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
07.01.025 - ESPATULA  ATLAS  6255 ACO CROMADO 7;6CM;UNIDA;50;10;10;R$ 144;37;0;40%;R$ 52;;60;R$ 91;77;17446;80%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;50;14;47;0;0;42;90;14;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.01.004 - BROXA ATLAS MEDIA N§ 1;UNIDA;21;10;10;R$ 144;18;0;40%;R$ 28;2;;R$ 116;16;41456;10%;;29;32;43;52;0;0;0;0;0;0;58;64;0;0;12;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
38.01.001 - LIMPA CERAMICA SANOL PRO 1LT;UNIDA;8;8;8;R$ 144;0;0;40%;R$ 52;48;;R$ 91;52;17439;0%;;18;0;0;0;0;0;0;0;18;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;18;0;36;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - LAJOTA COLONIAL - W - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;1;1;R$ 144;0;0;40%;R$ 91;31;;R$ 52;69;5770;50%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - SWEEPING BLUE - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 143;97;0;40%;R$ 84;48;;R$ 59;49;7041;90%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;75;36;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
02.05.001 - ROLO ANTI GOTA ZERO 23 CM COMPEL;UNIDA;230;7;9;R$ 143;86;0;40%;R$ 35;19;;R$ 108;67;30880;90%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;33;0;16;50;0;0;28;36;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - ESTRATEGIA MILITAR - W - SHERWIN - M-LTX ESM ECO ACET;QUART;1687;3;3;R$ 143;81;0;40%;R$ 78;82;;R$ 64;99;8245;40%;;0;0;0;0;0;0;0;0;0;0;48;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - CAFE GELADO - Z - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 143;80;0;40%;R$ 85;71;;R$ 58;9;6777;50%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32.01.026 - LIXADEIRA TALENTOS;UNIDA;4;4;4;R$ 143;70;0;40%;R$ 67;40;;R$ 76;30;11320;50%;;0;0;0;0;0;0;0;0;0;0;0;0;37;90;0;0;0;0;37;90;37;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - PRIMER P6 - F - SHERWIN - NOVACOR ACR FS;GALAO;1687;3;3;R$ 143;55;0;40%;R$ 81;46;;R$ 62;9;7622;10%;;0;0;0;0;0;0;0;0;0;0;0;0;31;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;96;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SH.000 - RAPADURA NORDESTINA - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 143;46;0;40%;R$ 91;24;;R$ 52;22;5723;40%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - DIMINUTIVE PINK - XY - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 143;41;0;40%;R$ 81;15;;R$ 62;26;7672;20%;;0;0;0;0;0;0;0;0;0;0;0;0;143;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
31.05.021 - ESMALTE NOVA COR BRILH AZUL DEL REY 1/16;UNIDA;11;11;11;R$ 143;40;0;40%;R$ 66;16;;R$ 77;24;11674;70%;;29;36;0;0;0;0;12;90;12;90;0;0;0;0;0;0;0;0;0;0;11;50;0;0;0;0;0;0;12;24;0;0;0;0;12;90;12;90;0;0;12;90;12;90;0;0;0;0;0;0;0;0;0;0;12;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - A TARDE - XY - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;2;2;R$ 143;34;0;40%;R$ 88;62;;R$ 54;72;6174;70%;;0;0;0;0;0;0;0;0;0;0;35;68;0;0;0;0;107;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - PRETO ABSOLUTO - C2 - SELFCOLOR - ESMALTE SECA RAPIDO;3.2L;1574;1;1;R$ 143;13;0;40%;R$ 99;49;;R$ 43;64;4386;40%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;143;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - AR DA MONTANHA - XY - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 143;1;0;40%;R$ 80;90;;R$ 62;11;7677;40%;;0;0;0;0;0;0;0;0;0;0;0;0;143;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - ANDAR COM FE - C2 - SELFCOLOR - ESMALTE COR & PROTEC;800ML;1574;1;2;R$ 142;96;0;40%;R$ 88;90;;R$ 54;6;6081;0%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - DELICIA DE VERAO - Z - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 142;94;0;40%;R$ 89;3;;R$ 53;91;6055;30%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - VERDE SINGULAR - XY - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;1;1;R$ 142;81;0;40%;R$ 85;5;;R$ 57;76;6791;30%;;0;0;142;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - BARRO VERMELHO - C2 - SELFCOLOR - ESMALTE SECA RAPIDO;3.2L;1574;1;1;R$ 142;74;0;40%;R$ 97;47;;R$ 45;27;4644;50%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - ROSA AMAVEL - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 142;34;0;40%;R$ 80;38;;R$ 61;96;7708;40%;;0;0;0;0;0;0;0;0;142;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - VERDE ENVELHECIDO - W - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;1;1;R$ 142;28;0;40%;R$ 92;11;;R$ 50;17;5446;70%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - FLORA BRASILEIRA - VY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 142;20;0;40%;R$ 86;38;;R$ 55;82;6462;10%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - OURO-VERDE - VY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 142;15;0;40%;R$ 77;32;;R$ 64;83;8384;60%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - CACAU DA BAHIA - B2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 141;89;0;40%;R$ 93;27;;R$ 48;62;5212;80%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
07.01.042 - ESTILETE COMUM 18MM BRASFORT/ ATLAS;UNIDA;24;19;19;R$ 141;78;0;40%;R$ 30;78;;R$ 111;0;36062;40%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;90;16;21;7;90;23;70;15;56;23;42;7;59;7;90;15;80;15;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - AZUL SURREAL - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 141;78;0;40%;R$ 80;3;;R$ 61;75;7715;90%;;0;0;0;0;0;0;0;0;0;0;141;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - CONCRETO - Z - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;2;2;R$ 141;61;0;40%;R$ 121;81;;R$ 19;80;1625;50%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
12.03.016 - MASSA ACRILICA CORAL LATA 25KG;UNIDA;15;1;1;R$ 141;52;0;40%;R$ 53;0;;R$ 88;52;16701;90%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - BRANCO RELUZENTE - E - SHERWIN - NOVACOR ACR FS;GALAO;1687;1;2;R$ 141;52;0;40%;R$ 80;86;;R$ 60;66;7501;90%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - ESTRATEGIA MILITAR - W - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 141;26;0;40%;R$ 83;92;;R$ 57;34;6832;70%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - ENSEADA VERDE - W - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;1;1;R$ 141;24;0;40%;R$ 85;41;;R$ 55;83;6536;70%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;141;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
34.01.012 - VIABIT GL;UNIDA;7;2;2;R$ 141;12;0;40%;R$ 103;96;;R$ 37;16;3574;50%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;69;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - OVELHA - MARMOR2 - SELFCOLOR - MASSA PARA EFEITOS /;2.88L;1574;1;1;R$ 140;96;0;40%;R$ 78;59;;R$ 62;37;7936;10%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - LAGO AZUL - F - SHERWIN - NOVACOR ACR FS;GALAO;1687;1;1;R$ 140;92;0;40%;R$ 85;18;;R$ 55;74;6543;80%;;0;0;0;0;0;0;0;0;0;0;0;0;140;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
32.01.025 - FELTRO SINTETICO RETANGULAR PRETO 4443;UNIDA;5;5;6;R$ 140;90;0;40%;R$ 42;48;;R$ 98;42;23168;50%;;0;0;0;0;0;0;0;0;0;0;25;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;50;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - JARDIM NOTURNO - C2 - SELFCOLOR - ESMALTE SECA RAPIDO;800ML;1574;3;3;R$ 140;88;0;40%;R$ 84;6;;R$ 56;82;6759;50%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;96;92;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - QUINOA - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 140;77;0;40%;R$ 82;12;;R$ 58;65;7142;0%;;0;0;0;0;0;0;140;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
05.07.003 - MASSA RAPIDA CINZA ANJO 1/4;UNIDA;3;3;5;R$ 140;66;0;40%;R$ 62;76;;R$ 77;90;12412;40%;;32;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;86;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - DESTINO - Z - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 140;60;0;40%;R$ 85;74;;R$ 54;86;6398;40%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - C-70BG 09/171 - W - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;2;2;R$ 140;54;0;40%;R$ 77;12;;R$ 63;42;8223;50%;;0;0;140;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - LARANJA DETERMINADO - VY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 140;49;0;40%;R$ 79;39;;R$ 61;10;7696;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - ALPACA SW 7022 MET ACR FOSCO - METALATEX ACRILICO;3.2L;1687;2;2;R$ 140;34;0;40%;R$ 104;91;;R$ 35;43;3377;20%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SW.000 - TOQUE DE AREIA - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 140;27;0;40%;R$ 87;87;;R$ 52;40;5963;40%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
02.01.008 - ESPATULA LISA 8CM;UNIDA;23;23;24;R$ 140;20;0;40%;R$ 24;75;;R$ 115;45;46646;50%;;6;0;5;90;0;0;5;90;0;0;0;0;0;0;11;34;5;90;0;0;0;0;23;60;0;0;11;80;5;90;5;90;0;0;0;0;0;0;0;0;11;77;0;0;23;60;0;0;11;62;5;90;0;0;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - ACAMPAMENTO NA SELVA - C2 - SELFCOLOR - TOQUE DE SEDA;800ML;1574;1;2;R$ 140;18;0;40%;R$ 86;52;;R$ 53;66;6202;0%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
25.09.006 - FITA ISOLANTE 19 X 10M;UNIDA;23;23;24;R$ 140;12;0;40%;R$ 77;28;;R$ 62;84;8131;50%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;90;0;0;0;0;0;0;0;0;5;90;5;90;11;80;17;70;4;42;5;90;17;70;17;70;5;90;0;0;17;70;5;90;0;0;11;80;5;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ZZ.SV.000 - AZUL-INFINITO - B2 - SELFCOLOR - ESMALTE MULTISUPERFI;800ML;1574;1;2;R$ 140;8;0;40%;R$ 73;30;;R$ 66;78;9110;50%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
02.03.008 - ROLO ESPUMA COMPEL 09 CM AMARELO;UNIDA;29;29;47;R$ 140;2;0;40%;R$ 57;81;;R$ 82;21;14220;70%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;32;91;41;68;17;88;44;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
07.15.027 - TRINCHA ATLAS AT215 SEDA  2 1/2;UNIDA;11;4;4;R$ 140;0;0;40%;R$ 57;60;;R$ 82;40;14305;60%;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;35;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
