Produtos,Embal,Operacoeses_Comerciais,Itens_Vendidos,Quantidade,Valor,% Part.,Custo_Total,Lucrativo-%,Lucrativo-$
ZZ.SW.000 - FARINHA DE BIJU - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,102.00,71.00,0.00,30%,61.00
ZZ.SW.000 - CINZA INTERNACIONAL - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,102.00,69.00,0.00,30%,61.00
ZZ.SW.000 - FEITICO DO TEMPO - F - SHERWIN - NOVACOR ACR FS,GALAO,"1,687.00",1.00,1.00,102.00,60.00,0.00,30%,61.00
27.01.009 - SPRAY  COLORART ALL LUB ANTI CORROSIVO,UNIDA,8.00,8.00,8.00,102.00,40.00,0.00,30%,40.00
ZZ.SW.000 - BOLA DE NEVE SW 7004 MET REQ ACETINADO - METALATEX REQUINTE - SUPERLAVAVEL ACETINA,3.2L,"1,687.00",1.00,1.00,102.00,36.00,0.00,30%,50.00
ZZ.SW.000 - TIE-FOGO - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,102.00,25.00,0.00,30%,62.00
ZZ.SW.000 - BRANCO CERA - XY - SHERWIN - M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,102.00,21.00,0.00,30%,51.00
11.03.067 - SPRAY ARTE URBANA VERDE PISCINA,UNIDA,3.00,3.00,6.00,102.00,8.00,0.00,30%,86.00
ZZ.SV.000 - CHUVA DE VERAO - A2 - SELFCOLOR - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,2.00,101.00,94.00,0.00,30%,53.00
ZZ.SV.000 - MANTRA - A2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",2.00,2.00,101.00,78.00,0.00,30%,56.00
ZZ.SW.000 - BRINDE A VIDA - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,101.00,64.00,0.00,30%,57.00
ZZ.SV.000 - RIO DANUBIO - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,2.00,101.00,56.00,0.00,30%,58.00
ZZ.SW.000 - ALISSO-DOCE SW 6589 MET ACR FOSCO - METALATEX ACRILICO,3.2L,"1,687.00",1.00,1.00,101.00,40.00,0.00,30%,51.00
ZZ.SV.000 - ZIMBRO - B2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",2.00,2.00,101.00,21.00,0.00,30%,71.00
07.01.004 - BROXA ATLAS  15X5 6CM N§ 1,UNIDA,21.00,8.00,8.00,101.00,19.00,0.00,30%,19.00
02.03.001 - ROLO ESPUMA COMPEL 04 CM PRETO,UNIDA,20.00,16.00,26.00,101.00,17.00,0.00,30%,15.00
ZZ.SV.000 - TERRA ROXA - C2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",6.00,6.00,101.00,16.00,0.00,30%,58.00
05.06.003 - ALCOOL GEL 500ML,UNIDA,7.00,7.00,7.00,101.00,10.00,0.00,30%,56.00
ZZ.SW.000 - VERMELHO ANTIGO SW 7587 MET ACR FOSCO - METALATEX ACRILICO,800ML,"1,687.00",2.00,2.00,101.00,0.00,0.00,30%,124.00
ZZ.SW.000 - BIANCO SERENO 0617 CLR MET ACR FOSCO - COLOR METALATEX ACRI,3.2L,"1,687.00",1.00,1.00,100.00,80.00,0.00,30%,50.00
ZZ.SW.000 - ARMADURA DE METAL - F - SHERWIN - NOVACOR ACR FS,GALAO,"1,687.00",1.00,1.00,100.00,73.00,0.00,30%,57.00
ZZ.SW.000 - LAUGHING ORANGE - VY - SHERWIN - M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,100.00,67.00,0.00,30%,56.00
ZZ.SW.000 - PIQUENIQUE - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,100.00,66.00,0.00,30%,57.00
ZZ.SV.000 - NO DE MARINHEIRO - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",2.00,2.00,100.00,54.00,0.00,30%,57.00
ZZ.SW.000 - C-50GG 30/211 - Z - SHERWIN - M-LTX ESM SINT ACET,GALAO,"1,687.00",1.00,1.00,100.00,53.00,0.00,30%,61.00
09.03.001 - CIMENTO BRANCO  1 KG,UNIDA,13.00,13.00,27.00,100.00,45.00,0.00,30%,45.00
ZZ.SW.000 - VERDE MAGNIFICO - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,100.00,38.00,0.00,30%,58.00
ZZ.SW.000 - CASA BLANCA SW 7571 CLR MET ACR FOSCO - COLOR METALATEX ACRI,3.2L,"1,687.00",1.00,1.00,100.00,35.00,0.00,30%,50.00
ZZ.SW.000 - PEDRA DA ESTRELA - XY - SHERWIN - M-LTX ESM SINT ACET,GALAO,"1,687.00",1.00,1.00,100.00,18.00,0.00,30%,58.00
16.02.003 - FITA CREPE AZUL 48 X 40,UNIDA,53.00,6.00,6.00,100.00,17.00,0.00,30%,60.00
25.01.011 - PILHA AA BRASFORT,UNIDA,9.00,9.00,11.00,100.00,13.00,0.00,30%,39.00
ZZ.SW.000 - RENDA MARFIM - XY - SHERWIN - M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,100.00,13.00,0.00,30%,50.00
ZZ.SW.000 - LUVA DE CAMURCA - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,100.00,4.00,0.00,30%,61.00
ZZ.SW.000 - BRANCO PEROLADO - XY - SHERWIN - M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,99.00,94.00,0.00,30%,50.00
ZZ.SW.000 - CINZA MODERNO - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,99.00,88.00,0.00,30%,60.00
13.05.007 - CROMANIL ACR FOSCO ANIL INTENSO (3) 1/4,UNIDA,78.00,1.00,1.00,99.00,80.00,0.00,30%,30.00
13.05.023 - LATEX ACR FOSCO CROMANIL CHROMA KEY AZUL 1/4,UNIDA,3.00,1.00,1.00,99.00,80.00,0.00,30%,30.00
ZZ.SW.072 - CLR MET ES E - ACETINADO - XY,800ML,3.00,3.00,3.00,99.00,79.00,0.00,30%,86.00
27.01.021 - SPRAY  COLORART PRETO BRILHANTE,UNIDA,5.00,5.00,5.00,99.00,50.00,0.00,30%,42.00
ZZ.SW.000 - BELOS SONHOS - XY - SHERWIN - M-LTX ESM ECO ACET,GALAO,"1,687.00",1.00,1.00,99.00,50.00,0.00,30%,60.00
ZZ.SW.000 - SEMENTE DE UVA - W - SHERWIN - M-LTX ESM ECO ACET,QUART,"1,687.00",2.00,2.00,99.00,34.00,0.00,30%,58.00
ZZ.SW.000 - CEREJA - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,99.00,33.00,0.00,30%,54.00
ZZ.SW.000 - SHIRAZ - W - SHERWIN - M-LTX ESM ECO ACET,QUART,"1,687.00",2.00,2.00,99.00,26.00,0.00,30%,57.00
ZZ.SV.000 - VENTO GELIDO - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",2.00,2.00,99.00,12.00,0.00,30%,56.00
13.04.007 - CROMANIL REQ ANIL 3 1/4,UNIDA,15.00,1.00,1.00,99.00,0.00,0.00,30%,15.00
28.01.004 - VEDAPREN PRETO  GL,UNIDA,1.00,1.00,1.00,99.00,0.00,0.00,30%,54.00
ZZ.SW.000 - AROMA DE MANJERICAO - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,98.00,82.00,0.00,30%,57.00
ZZ.SV.000 - CUIA DE CHIMARRAO - C2 - SELFCOLOR - ESMALTE COR & PROTEC,800ML,"1,574.00",2.00,2.00,98.00,74.00,0.00,30%,50.00
ZZ.SW.000 - ROSA SAPATILHA - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,98.00,36.00,0.00,30%,59.00
07.01.017 - ESCOVA DE ACO SEM CABO TIGRE,UNIDA,11.00,5.00,5.00,98.00,27.00,0.00,30%,45.00
ZZ.SW.000 - CAMURCA - E - SHERWIN - NOVACOR ACR FS,GALAO,"1,687.00",1.00,1.00,98.00,17.00,0.00,30%,58.00
12.03.028 - TESTE FACIL MADEIRA ACINZENTADA,UNIDA,7.00,7.00,7.00,98.00,10.00,0.00,30%,53.00
ZZ.SV.000 - FRAPE DE MARACUJA - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,2.00,98.00,2.00,0.00,30%,55.00
ZZ.SW.000 - MEDITACAO - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,98.00,0.00,0.00,30%,67.00
ZZ.SW.000 - MARFIM DELICADO - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,97.00,89.00,0.00,30%,59.00
ZZ.SW.000 - FALESIAS DE PIPA - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,97.00,87.00,0.00,30%,55.00
25.09.018 - FITA EMPACOTAMENTO 500M,UNIDA,1.00,1.00,2.00,97.00,80.00,0.00,30%,45.00
32.01.030 - SILEN-GOTAS TRANSPARENTE 4901,UNIDA,4.00,4.00,4.00,97.00,80.00,0.00,30%,47.00
07.01.003 - BROXA JUMBO,UNIDA,4.00,4.00,5.00,97.00,50.00,0.00,30%,36.00
20.11.002 - ZARCAO LUKSCOLOR 1/4,UNIDA,10.00,3.00,3.00,97.00,50.00,0.00,30%,45.00
07.09.015 - PINCEL AT952 ATLAS 06,UNIDA,7.00,7.00,9.00,97.00,47.00,0.00,30%,24.00
ZZ.SW.000 - SALVIA DE VERAO - Z - SHERWIN - M-LTX ESM SINT ACET,GALAO,"1,687.00",1.00,1.00,97.00,39.00,0.00,30%,57.00
ZZ.SW.000 - FORSYTHIA SW 6907 CLR MET ACR FOSCO - COLOR METALATEX ACRI,3.2L,"1,687.00",1.00,1.00,97.00,7.00,0.00,30%,54.00
ZZ.SV.000 - SUAVE VERAO - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",2.00,2.00,97.00,4.00,0.00,30%,56.00
ZZ.SV.000 - AMANHECER - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",2.00,2.00,97.00,1.00,0.00,30%,56.00
ZZ.SW.000 - NAVEE - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,2.00,96.00,96.00,0.00,30%,55.00
ZZ.SW.000 - RANCHO FUNDO - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,96.00,94.00,0.00,30%,53.00
"33.05.009 - TRINCHA TIGRE 519 1"";UNIDA;16;16;17; R$ 96",88,0.00,0.30,107.00,10.00,-10.00,22.00,-954,0.20
ZZ.SV.000 - BORDO - C2 - SELFCOLOR - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,96.00,77.00,0.00,30%,63.00
ZZ.SW.000 - MERLOT - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,96.00,62.00,0.00,30%,55.00
ZZ.SW.000 - ZEN - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,96.00,61.00,0.00,30%,58.00
ZZ.SW.000 - CONCRETO - Z - SHERWIN - M-LTX REQUINTE SUPER,QUART,"1,687.00",2.00,2.00,96.00,57.00,0.00,30%,53.00
07.01.011 - CACAMBA ATLAS,UNIDA,3.00,3.00,4.00,96.00,44.00,0.00,30%,50.00
ZZ.SW.000 - CINZA POPULAR - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,96.00,12.00,0.00,20%,63.00
ZZ.SW.000 - CINZA DE GRIFE - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,96.00,9.00,0.00,20%,58.00
31.04.011 - ESMALTE METALATEX ECO ACET Z 1/4,UNIDA,2.00,2.00,3.00,96.00,3.00,0.00,20%,164.00
07.04.003 - FITA ZEBRADA 100M,UNIDA,5.00,3.00,4.00,96.00,0.00,0.00,20%,40.00
22.02.002 - MATA MOFO 1 LITRO,UNIDA,3.00,3.00,3.00,96.00,0.00,0.00,20%,96.00
07.13.003 - ROLO TEXTURA ATLAS 23CM GROSSA 110/55,UNIDA,4.00,3.00,3.00,95.00,93.00,0.00,20%,70.00
ZZ.SW.000 - MARFIM CLASSICO - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,95.00,88.00,0.00,20%,57.00
ZZ.SW.000 - CAMPO NEUTRO - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,95.00,76.00,0.00,20%,57.00
11.03.028 - SPRAY ARTE URBANA BERINJELA,UNIDA,5.00,5.00,5.00,95.00,69.00,0.00,20%,66.00
ZZ.SV.000 - CREME DE PESSEGO - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",2.00,2.00,95.00,68.00,0.00,20%,56.00
07.01.038 - TACO PARA LIXAR,UNIDA,4.00,4.00,4.00,95.00,60.00,0.00,20%,46.00
01.01.001 - ESCADA DE ALUMINIO 3 DEGRAUS,UNIDA,1.00,1.00,1.00,95.00,56.00,0.00,20%,57.00
ZZ.SW.000 - LAGO AZUL - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,2.00,95.00,50.00,0.00,20%,50.00
ZZ.SV.000 - BURACO NEGRO - C2 - SELFCOLOR - ESMALTE MULTISUPERFI,800ML,"1,574.00",1.00,1.00,95.00,44.00,0.00,20%,51.00
ZZ.SV.000 - TUTTI FRUTTI - A2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",2.00,2.00,95.00,35.00,0.00,20%,52.00
ZZ.SW.000 - BEIJO MOLHADO - Z - SHERWIN - M-LTX ESM SINT ACET,QUART,"1,687.00",2.00,2.00,95.00,32.00,0.00,20%,55.00
ZZ.SW.000 - SUBLIME AMOR - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,95.00,21.00,0.00,20%,57.00
ZZ.SV.000 - ESPINAFRE - C2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",2.00,2.00,95.00,13.00,0.00,20%,52.00
ZZ.SV.000 - SW 6893 - C2 - SHERWIN WILLIAMS - ESMALTE MULTISUPERFI,800ML,"1,574.00",1.00,1.00,95.00,10.00,0.00,20%,59.00
13.05.023 - CROMANIL AZUL CHROMA KEY 1/4,UNIDA,3.00,1.00,1.00,95.00,0.00,0.00,20%,30.00
ZZ.SW.000 - CITRUS - Z - SHERWIN - M-LTX ESM SINT ACET,GALAO,"1,687.00",1.00,1.00,95.00,0.00,0.00,20%,63.00
ZZ.SW.000 - AROMA DE PESSEGO - LY - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,2.00,94.00,86.00,0.00,20%,52.00
ZZ.SV.000 - ROXO-RUSTICO - C2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,94.00,79.00,0.00,20%,53.00
ZZ.SW.000 - PEDRA ORIENTAL - XY - SHERWIN - M-LTX ESM SINT ACET,GALAO,"1,687.00",1.00,1.00,94.00,75.00,0.00,20%,61.00
ZZ.SV.000 - ROSA VIBRANTE - C2 - SELFCOLOR - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,1.00,94.00,69.00,0.00,20%,61.00
38.01.009 - LIMPA GRANITO E MARMORE SANOL PRO 1LT,UNIDA,5.00,5.00,5.00,94.00,50.00,0.00,20%,42.00
ZZ.SV.000 - PRATA - A2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",2.00,2.00,94.00,43.00,0.00,20%,69.00
ZZ.SH.000 - CARAMELO - LANGUAGE OF COLORS - - CORALIT SECAGEM RAPI,800ML,231.00,2.00,2.00,94.00,0.00,0.00,20%,52.00
ZZ.SV.000 - ROSA DELICADO - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",2.00,2.00,93.00,98.00,0.00,20%,52.00
ZZ.SW.000 - BRANCO RESERVADO - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,93.00,87.00,0.00,20%,56.00
ZZ.SW.000 - MANJAR DOS DEUSES - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,93.00,85.00,0.00,20%,56.00
11.03.005 - SPRAY ALUMEN BRONZE CLARO FOSCO,UNIDA,3.00,3.00,3.00,93.00,80.00,0.00,20%,56.00
ZZ.SW.000 - BIANCO SERENO 0617 MET ESM ACETINADO - METALATEX ESMALTE,3.2L,"1,687.00",1.00,1.00,93.00,80.00,0.00,20%,50.00
ZZ.SH.000 - PALHA - OUTRAS COLECOES - RENDE MUITO,3.2L,231.00,1.00,1.00,93.00,70.00,0.00,20%,52.00
ZZ.SV.000 - BALEIA-AZUL - B2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",5.00,5.00,93.00,61.00,0.00,20%,48.00
ZZ.SH.000 - POESIA LIRICA - LANGUAGE OF COLORS - - ACABAMENTO DE SEDA,800ML,231.00,2.00,2.00,93.00,60.00,0.00,20%,49.00
ZZ.SW.000 - CHUVA DE ARROZ - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,93.00,55.00,0.00,20%,62.00
07.15.021 - TRINCHA ATLAS 445 AZUL  3/4,UNIDA,10.00,10.00,11.00,93.00,39.00,0.00,20%,20.00
16.03.015 - LIXA DE FERRO 40,UNIDA,13.00,12.00,25.00,93.00,30.00,0.00,20%,50.00
ZZ.SW.000 - TOALHA DE LINHO - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,93.00,30.00,0.00,20%,57.00
25.09.012 - FITA VEDA ROSCA 18X25 NORTON,UNIDA,11.00,11.00,11.00,93.00,25.00,0.00,20%,27.00
ZZ.SW.000 - PEDACO DO PARAISO - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,93.00,10.00,0.00,20%,75.00
ZZ.SW.000 - CREPE SUZETTE - XY - SHERWIN - M-LTX ESM SINT ACET,GALAO,"1,687.00",1.00,1.00,93.00,1.00,0.00,20%,54.00
ZZ.SV.000 - PO DE GRAFITE - B2 - SELFCOLOR - ESMALTE COR & PROTEC,800ML,"1,574.00",1.00,2.00,92.00,92.00,0.00,20%,48.00
ZZ.SV.000 - AMARELO REAL - B2 - SELFCOLOR - TOQUE DE SEDA,800ML,"1,574.00",1.00,1.00,92.00,84.00,0.00,20%,50.00
ZZ.SW.000 - POCO PROFUNDO - W - SHERWIN - M-LTX ESM SINT ACET,QUART,"1,687.00",2.00,2.00,92.00,58.00,0.00,20%,54.00
ZZ.SW.000 - RADICCHIO - W - SHERWIN - M-LTX ESM SINT ACET,QUART,"1,687.00",1.00,2.00,92.00,58.00,0.00,20%,51.00
ZZ.SW.000 - VELA PERFUMADA - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,92.00,31.00,0.00,20%,57.00
ZZ.SV.000 - PITANGA MADURA - C2 - CORAL - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,92.00,25.00,0.00,20%,60.00
ZZ.SV.000 - EQUILIBRIO - A2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,2.00,92.00,12.00,0.00,20%,46.00
ZZ.SV.000 - ROUPA DE PRINCIPE - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",2.00,2.00,91.00,94.00,0.00,20%,53.00
ZZ.SV.000 - VINHO ROSE - B2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,2.00,91.00,92.00,0.00,20%,56.00
07.01.035 - PALHA DE ACO  N| 2,UNIDA,22.00,9.00,32.00,91.00,82.00,0.00,20%,20.00
ZZ.SV.000 - OCEANO PROFUNDO - C2 - SELFCOLOR - ESMALTE MULTISUPERFI,800ML,"1,574.00",1.00,1.00,91.00,64.00,0.00,20%,56.00
ZZ.SW.000 - FARINHA BRANCA - XY - SHERWIN - M-LTX ESM SINT ACET,GALAO,"1,687.00",1.00,1.00,91.00,46.00,0.00,20%,53.00
ZZ.SV.000 - NIMBUS - B2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,2.00,91.00,34.00,0.00,20%,55.00
ZZ.SH.000 - PORTO DE PEDRAS - LANGUAGE OF COLORS - - RENDE MUITO,3.2L,231.00,1.00,1.00,91.00,28.00,0.00,20%,53.00
11.03.003 - SPRAY ALUMEN ALUMINIO FOSCO,UNIDA,4.00,4.00,5.00,91.00,16.00,0.00,20%,94.00
ZZ.SV.000 - OVELHA - A2 - SELFCOLOR - ESMALTE SECA RAPIDO,800ML,"1,574.00",1.00,2.00,91.00,10.00,0.00,20%,45.00
ZZ.SV.000 - FUGA DO TEMPO - A2 - CORAL - FOSCO COMPLETO,800ML,"1,574.00",1.00,2.00,91.00,0.00,0.00,20%,66.00
ZZ.SW.000 - AZUL MENINO - Z - SHERWIN - M-LTX ESM SINT ACET,QUART,"1,687.00",2.00,2.00,90.00,90.00,0.00,20%,52.00
ZZ.SW.000 - BONEQUINHA DE LUXO - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,90.00,74.00,0.00,20%,71.00
07.15.035 - TRINCHA ATLAS AT250 SEDA 1 1/2,UNIDA,15.00,3.00,4.00,90.00,65.00,0.00,20%,35.00
ZZ.SV.000 - VIDA MODERNA - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,2.00,90.00,60.00,0.00,20%,49.00
ZZ.SW.000 - FLORESTA DE PINHEIROS - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,90.00,38.00,0.00,20%,52.00
ZZ.SV.000 - MARMORE - A2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",5.00,5.00,90.00,34.00,0.00,20%,47.00
ZZ.SV.000 - MANJERICAO - C2 - SELFCOLOR - LOUSA E COR,800ML,"1,574.00",1.00,1.00,90.00,23.00,0.00,20%,61.00
ZZ.SV.000 - PASSEIO ECOLOGICO - A2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",1.00,2.00,90.00,14.00,0.00,20%,53.00
31.11.039 - NOVA COR FOSCO BRANCO 100M GL,UNIDA,12.00,1.00,1.00,89.00,90.00,0.00,20%,47.00
16.03.003 - LIXA DïAGUA 120,UNIDA,13.00,9.00,45.00,89.00,74.00,0.00,20%,32.00
13.07.084 - TEXTURA CROMANIL RELEVO C/ GLITTER 1/4,UNIDA,1.00,1.00,1.00,89.00,70.00,0.00,20%,7.00
31.05.024 - ESMALTE NOVA COR BRILH AZUL FRANCA 1/4 LUKS,UNIDA,3.00,3.00,3.00,89.00,70.00,0.00,20%,47.00
99.99.998 - TEXTURA CROMANIL  ANIL 2 1/4,UNIDA,1.00,1.00,1.00,89.00,70.00,0.00,20%,12.00
ZZ.SW.000 - VERDE DESCANSO - LY - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,2.00,89.00,59.00,0.00,20%,387.00
13.05.020 - CROMANIL ACR FOSCO BRANCO GL,UNIDA,224.00,1.00,1.00,89.00,50.00,0.00,20%,32.00
25.03.022 - TEK BOND COLA TUDO 20 G,UNIDA,5.00,5.00,5.00,89.00,50.00,0.00,20%,89.00
02.06.001 - ROLO TEXTURA ATLAS 23CM FINA 1723,UNIDA,14.00,4.00,4.00,89.00,31.00,0.00,20%,14.00
02.06.001 - ROLO TEXTURA 23CM FINA,UNIDA,14.00,4.00,4.00,89.00,17.00,0.00,20%,15.00
02.01.021 - KIT ANTI RESPINGO ECONOMICO N| 8,UNIDA,351.00,3.00,3.00,89.00,10.00,0.00,20%,5.00
07.01.014 - DESEMPENADEIRA DE PLASTICO GDE ATLAS,UNIDA,3.00,3.00,3.00,89.00,10.00,0.00,20%,34.00
04.01.001 - TEXTURA ACRILICA ARENATO ANDRAPAR 40KG - 13 M2,UNIDA,6.00,1.00,1.00,89.00,0.00,0.00,20%,49.00
15.03.007 - FRETE,UNIDA,2.00,2.00,2.00,89.00,0.00,0.00,20%,60.00
ZZ.SV.000 - PEDRA-SABAO - B2 - SELFCOLOR - FOSCO COMPLETO,800ML,"1,574.00",2.00,2.00,88.00,96.00,0.00,20%,53.00
ZZ.SV.000 - EXPRESSO DO ORIENTE* - C2 - CORAL - TOQUE DE SEDA,800ML,"1,574.00",1.00,1.00,88.00,95.00,0.00,20%,49.00
07.09.017 - PINCEL AT952 ATLAS 14,UNIDA,6.00,6.00,6.00,88.00,87.00,0.00,20%,25.00
ZZ.SW.000 - COSTA DOURADA - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,88.00,65.00,0.00,20%,50.00
11.03.065 - SPRAY ARTE URBANA VERDE NAUTICO,UNIDA,2.00,2.00,4.00,88.00,63.00,0.00,20%,58.00
07.15.026 - TRINCHA ATLAS AT215 SEDA  2,UNIDA,15.00,3.00,3.00,88.00,51.00,0.00,20%,32.00
07.11.004 - ROLO EPOXI RESIMAX ATLAS 23 CM,UNIDA,33.00,3.00,3.00,88.00,50.00,0.00,20%,30.00
"33.05.018 - TRINCHA TIGRE 696 3"";UNIDA;6;6;6; R$ 88",50,0.00,0.20,104.00,4.00,-15.00,54.00,-1493,0.60
07.09.014 - PINCEL AT952 ATLAS 02,UNIDA,7.00,7.00,9.00,88.00,47.00,0.00,20%,20.00
ZZ.SW.000 - MICANGA LARANJA - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,88.00,32.00,0.00,20%,51.00
ZZ.SV.000 - ALTAS HORAS - C2 - SELFCOLOR - TOQUE DE SEDA,800ML,"1,574.00",1.00,1.00,88.00,27.00,0.00,20%,48.00
21.06.010 - MASSA F12 IPE 1/16,UNIDA,7.00,7.00,7.00,88.00,3.00,0.00,20%,30.00
ZZ.SW.000 - BRANCO SIMPATIA - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",1.00,1.00,88.00,0.00,0.00,20%,57.00
ZZ.SW.000 - CALOR HUMANO - Z - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,87.00,83.00,0.00,20%,50.00
11.01.001 - BICO DE SPRAY,UNIDA,15.00,15.00,44.00,87.00,64.00,0.00,20%,0.00
11.03.054 - SPRAY ARTE URBANA ROSA LOTUS,UNIDA,4.00,4.00,4.00,87.00,60.00,0.00,20%,53.00
25.09.016 - FITA FIX 50X5,UNIDA,4.00,4.00,4.00,87.00,20.00,0.00,20%,44.00
ZZ.SW.000 - FLORESTA MAGICA - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",1.00,2.00,87.00,20.00,0.00,20%,52.00
ZZ.SW.000 - MARE ALTA - W - SHERWIN - NOVO M-LTX ACR FS,QUART,"1,687.00",2.00,2.00,86.00,85.00,0.00,20%,51.00
ZZ.SW.000 - CINZA ANALITICO - E - SHERWIN - NOVACOR ACR FS,GALAO,"1,687.00",1.00,1.00,86.00,73.00,0.00,20%,51.00
ZZ.SV.000 - TOUREIRO* - C2 - CORAL - FOSCO COMPLETO,800ML,"1,574.00",1.00,1.00,86.00,70.00,0.00,20%,56.00
ZZ.SV.000 - MACRAME - A2 - SELFCOLOR - TESTE SUA COR,200ML,"1,574.00",3.00,5.00,86.00,69.00,0.00,20%,46.00
ZZ.SW.000 - FORCA DAS MARES - XY - SHERWIN - M-LTX REQUINTE SUPER,QUART,"1,687.00",1.00,2.00,86.00,38.00,0.00,20%,45.00
