Produtos,Embal,Operacoeses_Comerciais,Itens_Vendidos,Quantidade,Valor,% Part.,Custo_Total,Lucrativo-%,Lucrativo-$
13.07.109 - KIT LATA CIMENTO QUEIMADO TRADICIONAL,UNIDA,6.00,6.00,6.00,"6,871.00",15.00,17.00,90%,"1,800.00"
07.12.005 - ROLO ANTI GOTA ATLAS 23 CM,UNIDA,216.00,216.00,262.00,"6,792.00",46.00,17.00,60%,"3,364.00"
31.04.026 - ESMALTE NOVA COR ACET BRANCO GL,UNIDA,47.00,47.00,69.00,"6,785.00",14.00,17.00,60%,"3,910.00"
13.07.062 - TEXTURA CROMANIL  TOSCANA LT,UNIDA,5.00,5.00,8.00,"6,783.00",0.00,17.00,60%,800.00
31.10.004 - METALATEX REQ BRANCO LT,UNIDA,15.00,15.00,15.00,"6,715.00",49.00,17.00,40%,"4,984.00"
25.07.020 - ESMALTE FLUOR ECO CITRUS 3,6 LTS,UNIDA,16.00,11.00,16.00,"6,684.00",22.00,17,0.40
13.05.006 - CROMANIL FSC ANIL 2 LT,UNIDA,7.00,5.00,7.00,"6,673.00",80.00,17.00,30%,"2,180.00"
20.08.001 - AGUA RAZ LUKS 5L,UNIDA,88.00,78.00,90.00,"6,589.00",6.00,17.00,10%,"3,824.00"
31.16.002 - MASSA CORRIDA PVA METALATEX GL,UNIDA,217.00,217.00,236.00,"6,513.00",66.00,16.00,90%,"3,596.00"
13.07.033 - TEXTURA CROMANIL  CORES ESCURAS LT,UNIDA,5.00,5.00,6.00,"6,409.00",55.00,16.00,70%,600.00
31.04.036 - ESMALTE NOVA COR FOSCO PRETO GL,UNIDA,47.00,47.00,65.00,"6,392.00",2.00,16.00,60%,"3,978.00"
13.07.022 - TEXTURA CROMANIL   TRADICIONAL CLARO 1/4,UNIDA,304.00,58.00,73.00,"6,363.00",93.00,16.00,50%,"1,065.00"
35.01.009 - MASSA ACRILICA UNIVERSO LATA 25KG,LATA,42.00,42.00,67.00,"6,323.00",82.00,16.00,40%,"4,386.00"
31.23.026 - NOVA COR PISO PRETO GL,UNIDA,70.00,70.00,78.00,"6,284.00",25.00,16.00,30%,"3,819.00"
35.01.010 - GESSO E DRYWALL UNIVERSO LATA,LATA,4.00,4.00,35.00,"6,240.00",64.00,16.00,20%,"4,150.00"
ZZ.SW.183 - BASE XY NOVO M-LTX ACR FS,16L,15.00,15.00,18.00,"6,221.00",18.00,16.00,20%,"4,551.00"
31.15.002 - MASSA ACRILICA METALATEX GL,UNIDA,133.00,133.00,149.00,"6,168.00",8.00,16.00,0%,"3,680.00"
13.07.015 - TEXTURA CROMANIL  ANIL  LT,UNIDA,6.00,6.00,7.00,"6,144.00",14.00,16.00,0%,858.00
05.09.002 - SOLVENTE ANJO 4.000 PARA EPOXI 0,900ML,UNIDA,36.00,36.00,199.00,"6,123.00",89.00,15,0.90
34.01.031 - SILICONE HIDROREPELENTE FUSEPROTEC LATA,UNIDA,12.00,5.00,13.00,"6,051.00",27.00,15.00,70%,"4,792.00"
04.01.001 - TEXTURA ACRILICA ARENATO ANDRA 40KG - 9M2,UNIDA,6.00,5.00,44.00,"5,997.00",33.00,15.00,60%,"3,480.00"
31.23.027 - NOVA COR PISO PRETO LT,UNIDA,20.00,20.00,22.00,"5,882.00",39.00,15.00,30%,"4,215.00"
ZZ.SW.000 - QUERMESSE - Z - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",5.00,11.00,"5,642.00",13.00,14.00,70%,"3,961.00"
20.08.004 - SOLVENTE 228 LUKS  0,900,UNIDA,297.00,246.00,289.00,"5,613.00",17.00,14,0.60
13.01.001 - ANIL PO  KG,UNIDA,14.00,14.00,26.00,"5,514.00",7.00,14.00,30%,"1,248.00"
ZZ.SW.000 - AGUIA BEGE - XY - SHERWIN - NOVO M-LTX ACR FS,LATA,"1,687.00",7.00,18.00,"5,505.00",68.00,14.00,30%,"4,574.00"
25.07.021 - ESMALTE FLUOR ECO  3,6 LTS,UNIDA,8.00,8.00,14.00,"5,504.00",30.00,14,0.30
31.10.002 - METALATEX BACKTERKILL ACET BRANCO GL,UNIDA,39.00,39.00,43.00,"5,498.00",29.00,14.00,30%,"3,252.00"
13.07.097 - LUMINUZ PRATA 1/4,UNIDA,78.00,78.00,83.00,"5,494.00",38.00,14.00,30%,"4,971.00"
25.07.016 - ESMALTE SUVINIL AC SEC RAP BRANCO GL,UNIDA,38.00,38.00,50.00,"5,485.00",11.00,14.00,30%,"3,966.00"
25.10.012 - SUVINIL TOQUE DE SEDA GALAO,UNIDA,32.00,32.00,34.00,"5,481.00",41.00,14.00,20%,"3,525.00"
14.01.003 - TEXTURA CRISTALINE CORES ESCURAS DECOR 40 KG,UNIDA,1.00,1.00,28.00,"5,474.00",56.00,14.00,20%,"2,925.00"
13.07.111 - KIT LATA CIMENTO QUEIMADO NUVENS DE CHUVA,UNIDA,4.00,4.00,5.00,"5,439.00",96.00,14.00,10%,"1,500.00"
03.01.002 - PAPELAO ONDULADO 50 MTS,UNIDA,33.00,33.00,51.00,"5,425.00",18.00,14.00,10%,"3,152.00"
13.07.039 - TEXTURA CROMANIL  ESPECIARIAS LT,UNIDA,4.00,4.00,6.00,"5,407.00",62.00,14.00,10%,600.00
31.05.008 - ESMALTE METALATEX FOSCO BRANCO GL,UNIDA,34.00,34.00,45.00,"5,367.00",78.00,13.00,90%,"3,263.00"
13.09.011 - VERNIZ ACRILICO FOSCO ACET CROMANIL GL,UNIDA,188.00,50.00,60.00,"5,363.00",0.00,13.00,90%,"1,375.00"
99.99.998 - KIT 1/4 CIMENTO QUEIMADO TRADICIONAL,UNIDA,1.00,38.00,42.00,"5,328.00",75.00,13.00,80%,287.00
31.22.001 - EPOXI NOVA COR BASE AGUA BRANCO GL,UNIDA,11.00,11.00,22.00,"5,322.00",58.00,13.00,80%,"3,289.00"
18.01.002 - RESINA HYDRONORTHY  FOSCA GL,UNIDA,28.00,28.00,38.00,"5,298.00",87.00,13.00,80%,"3,112.00"
ZZ.SV.000 - TRUFA DE CUPUACU - A2 - SELFCOLOR - FOSCO COMPLETO,16L,"1,574.00",2.00,13.00,"5,270.00",23.00,13.00,70%,"4,308.00"
25.11.018 - SUVINIL ACRILICO FOSCO LIMPEZA TOTAL LT,UNIDA,12.00,12.00,13.00,"5,120.00",30.00,13.00,30%,"4,032.00"
05.09.003 - SOLVENTE ANJO 4.000 PARA EPOXI GL,UNIDA,7.00,7.00,32.00,"5,116.00",80.00,13.00,30%,"2,541.00"
35.01.012 - GESSO E DRYWALL BRANCO NATURAL LATA,LATA,4.00,4.00,26.00,"5,070.00",0.00,13.00,20%,"3,127.00"
31.23.017 - NOVA COR PISO CINZA GL,UNIDA,57.00,57.00,63.00,"5,065.00",94.00,13.00,20%,"2,920.00"
13.05.005 - CROMANIL FSC ANIL 2 GL,UNIDA,25.00,19.00,20.00,"5,056.00",73.00,13.00,10%,"1,421.00"
13.09.014 - VERNIZ ACRILICO ACETINADO CROMANIL 3,6 LTS,UNIDA,48.00,48.00,56.00,"5,054.00",38.00,13,0.10
13.07.008 - TEXTURA CROMANIL   GL,UNIDA,19.00,19.00,24.00,"5,043.00",39.00,13.00,10%,459.00
20.01.003 - ESMALTE LUKS FOSCO PRETO BASE AGUA GL,UNIDA,43.00,43.00,50.00,"5,043.00",33.00,13.00,10%,"3,159.00"
ZZ.SW.000 - CINZA FUNCIONAL - XY - SHERWIN - NOVO M-LTX ACR FS,GALAO,"1,687.00",14.00,22.00,"5,025.00",12.00,13.00,10%,"3,917.00"
ZZ.SW.000 - BIANCO SERENO - XY - SHERWIN - M-LTX REQUINTE SUPER,GALAO,"1,687.00",11.00,18.00,"4,982.00",60.00,12.00,90%,"3,598.00"
15.07.004 - SALDAO SPRAYS,UNIDA,73.00,73.00,431.00,"4,877.00",81.00,12.00,70%,"4,582.00"
13.07.061 - TEXTURA CROMANIL  TOSCANA GL,UNIDA,22.00,22.00,24.00,"4,801.00",74.00,12.00,50%,"1,648.00"
31.11.027 - NOVA COR ACRILICO FOSCO BRANCO GL 76M|,UNIDA,80.00,56.00,64.00,"4,801.00",14.00,12.00,50%,"2,630.00"
07.12.002 - KIT CONJUNTO ANTI GOTA COMPLETO,UNIDA,89.00,89.00,95.00,"4,694.00",28.00,12.00,20%,"1,989.00"
02.01.002 - BANDEJA GD,UNIDA,294.00,294.00,319.00,"4,664.00",92.00,12.00,10%,"1,491.00"
20.08.005 - SOLVENTE 228 LUKS GL,UNIDA,56.00,40.00,57.00,"4,609.00",91.00,12.00,0%,"2,688.00"
31.23.031 - NOVA COR PISO VERDE LT,UNIDA,14.00,14.00,17.00,"4,579.00",20.00,11.00,90%,"3,420.00"
07.12.004 - ROLO ANTI GOTA ATLAS 15 CM,UNIDA,208.00,208.00,249.00,"4,572.00",79.00,11.00,90%,"2,442.00"
13.07.110 - KIT LATA CIMENTO QUEIMADO GAROA,UNIDA,2.00,2.00,4.00,"4,497.00",14.00,11.00,70%,"1,200.00"
31.04.006 - ESMALTE METALATEX ECO ACET PRETO GL,UNIDA,36.00,36.00,36.00,"4,470.00",96.00,11.00,60%,"2,704.00"
26.03.007 - SOLVENTE 8137 NATRIELLI 5L,UNIDA,10.00,10.00,48.00,"4,357.00",82.00,11.00,30%,"2,230.00"
02.05.001 - ROLO ANTI GOTA COMPEL 23 CM ZERO,UNIDA,230.00,224.00,258.00,"4,343.00",65.00,11.00,30%,"1,207.00"
04.01.002 - TEXTURA ACRILICA DESIGNER ANDRAPAR 25KG  - 10 M|,UNIDA,29.00,29.00,75.00,"4,339.00",73.00,11.00,30%,"2,805.00"
13.07.073 - TEXTURA CROMANIL RELEVO  GL,UNIDA,15.00,15.00,20.00,"4,301.00",86.00,11.00,20%,440.00
12.02.001 - ESMALTE CORAL ACETINADO BRANCO SECAGEM RAPIDA GL,UNIDA,58.00,34.00,42.00,"4,275.00",4.00,11.00,10%,"2,900.00"
31.11.006 - METALATEX FSC  TERRA COTA LT,UNIDA,7.00,7.00,12.00,"4,268.00",76.00,11.00,10%,"3,013.00"
