Produtos;Embal;Operacoeses Comerciais;Itens Vendidos;Quantidade;Valor;% Part.;Custo Total;$ Lucrativ.;% Lucrativ.
31.04.036 - ESMALTE NOVA COR FOSCO PRETO GL;UNIDA;47;47;65;R$ 6.392;2;16;60%;R$ 3.978
13.07.022 - TEXTURA CROMANIL   TRADICIONAL CLARO 1/4;UNIDA;304;58;73;R$ 6.363;93;16;50%;R$ 1.065
35.01.009 - MASSA ACRILICA UNIVERSO LATA 25KG;LATA;42;42;67;R$ 6.323;82;16;40%;R$ 4.386
31.23.026 - NOVA COR PISO PRETO GL;UNIDA;70;70;78;R$ 6.284;25;16;30%;R$ 3.819
35.01.010 - GESSO E DRYWALL UNIVERSO LATA;LATA;4;4;35;R$ 6.240;64;16;20%;R$ 4.150
ZZ.SW.183 - BASE XY NOVO M-LTX ACR FS;16L;15;15;18;R$ 6.221;18;16;20%;R$ 4.551
31.15.002 - MASSA ACRILICA METALATEX GL;UNIDA;133;133;149;R$ 6.168;8;16;0%;R$ 3.680
13.07.015 - TEXTURA CROMANIL  ANIL  LT;UNIDA;6;6;7;R$ 6.144;14;16;0%;R$ 858
05.09.002 - SOLVENTE ANJO 4.000 PARA EPOXI 0;900ML;UNIDA;36;36;199;R$ 6.123;89;15;90%
34.01.031 - SILICONE HIDROREPELENTE FUSEPROTEC LATA;UNIDA;12;5;13;R$ 6.051;27;15;70%;R$ 4.792
04.01.001 - TEXTURA ACRILICA ARENATO ANDRA 40KG - 9M2;UNIDA;6;5;44;R$ 5.997;33;15;60%;R$ 3.480
31.23.027 - NOVA COR PISO PRETO LT;UNIDA;20;20;22;R$ 5.882;39;15;30%;R$ 4.215
ZZ.SW.000 - QUERMESSE - Z - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;5;11;R$ 5.642;13;14;70%;R$ 3.961
20.08.004 - SOLVENTE 228 LUKS  0;900;UNIDA;297;246;289;R$ 5.613;17;14;60%
13.01.001 - ANIL PO  KG;UNIDA;14;14;26;R$ 5.514;7;14;30%;R$ 1.248
ZZ.SW.000 - AGUIA BEGE - XY - SHERWIN - NOVO M-LTX ACR FS;LATA;1687;7;18;R$ 5.505;68;14;30%;R$ 4.574
25.07.021 - ESMALTE FLUOR ECO  3;6 LTS;UNIDA;8;8;14;R$ 5.504;30;14;30%
31.10.002 - METALATEX BACKTERKILL ACET BRANCO GL;UNIDA;39;39;43;R$ 5.498;29;14;30%;R$ 3.252
13.07.097 - LUMINUZ PRATA 1/4;UNIDA;78;78;83;R$ 5.494;38;14;30%;R$ 4.971
25.07.016 - ESMALTE SUVINIL AC SEC RAP BRANCO GL;UNIDA;38;38;50;R$ 5.485;11;14;30%;R$ 3.966
25.10.012 - SUVINIL TOQUE DE SEDA GALAO;UNIDA;32;32;34;R$ 5.481;41;14;20%;R$ 3.525
14.01.003 - TEXTURA CRISTALINE CORES ESCURAS DECOR 40 KG;UNIDA;1;1;28;R$ 5.474;56;14;20%;R$ 2.925
13.07.111 - KIT LATA CIMENTO QUEIMADO NUVENS DE CHUVA;UNIDA;4;4;5;R$ 5.439;96;14;10%;R$ 1.500
03.01.002 - PAPELAO ONDULADO 50 MTS;UNIDA;33;33;51;R$ 5.425;18;14;10%;R$ 3.152
13.07.039 - TEXTURA CROMANIL  ESPECIARIAS LT;UNIDA;4;4;6;R$ 5.407;62;14;10%;R$ 600
31.05.008 - ESMALTE METALATEX FOSCO BRANCO GL;UNIDA;34;34;45;R$ 5.367;78;13;90%;R$ 3.263
13.09.011 - VERNIZ ACRILICO FOSCO ACET CROMANIL GL;UNIDA;188;50;60;R$ 5.363;0;13;90%;R$ 1.375
99.99.998 - KIT 1/4 CIMENTO QUEIMADO TRADICIONAL;UNIDA;1;38;42;R$ 5.328;75;13;80%;R$ 287
31.22.001 - EPOXI NOVA COR BASE AGUA BRANCO GL;UNIDA;11;11;22;R$ 5.322;58;13;80%;R$ 3.289
18.01.002 - RESINA HYDRONORTHY  FOSCA GL;UNIDA;28;28;38;R$ 5.298;87;13;80%;R$ 3.112
ZZ.SV.000 - TRUFA DE CUPUACU - A2 - SELFCOLOR - FOSCO COMPLETO;16L;1574;2;13;R$ 5.270;23;13;70%;R$ 4.308
25.11.018 - SUVINIL ACRILICO FOSCO LIMPEZA TOTAL LT;UNIDA;12;12;13;R$ 5.120;30;13;30%;R$ 4.032
05.09.003 - SOLVENTE ANJO 4.000 PARA EPOXI GL;UNIDA;7;7;32;R$ 5.116;80;13;30%;R$ 2.541
35.01.012 - GESSO E DRYWALL BRANCO NATURAL LATA;LATA;4;4;26;R$ 5.070;0;13;20%;R$ 3.127
31.23.017 - NOVA COR PISO CINZA GL;UNIDA;57;57;63;R$ 5.065;94;13;20%;R$ 2.920
13.05.005 - CROMANIL FSC ANIL 2 GL;UNIDA;25;19;20;R$ 5.056;73;13;10%;R$ 1.421
13.09.014 - VERNIZ ACRILICO ACETINADO CROMANIL 3;6 LTS;UNIDA;48;48;56;R$ 5.054;38;13;10%
13.07.008 - TEXTURA CROMANIL   GL;UNIDA;19;19;24;R$ 5.043;39;13;10%;R$ 459
20.01.003 - ESMALTE LUKS FOSCO PRETO BASE AGUA GL;UNIDA;43;43;50;R$ 5.043;33;13;10%;R$ 3.159
ZZ.SW.000 - CINZA FUNCIONAL - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;14;22;R$ 5.025;12;13;10%;R$ 3.917
ZZ.SW.000 - BIANCO SERENO - XY - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;11;18;R$ 4.982;60;12;90%;R$ 3.598
15.07.004 - SALDAO SPRAYS;UNIDA;73;73;431;R$ 4.877;81;12;70%;R$ 4.582
13.07.061 - TEXTURA CROMANIL  TOSCANA GL;UNIDA;22;22;24;R$ 4.801;74;12;50%;R$ 1.648
31.11.027 - NOVA COR ACRILICO FOSCO BRANCO GL 76M|;UNIDA;80;56;64;R$ 4.801;14;12;50%;R$ 2.630
07.12.002 - KIT CONJUNTO ANTI GOTA COMPLETO;UNIDA;89;89;95;R$ 4.694;28;12;20%;R$ 1.989
02.01.002 - BANDEJA GD;UNIDA;294;294;319;R$ 4.664;92;12;10%;R$ 1.491
20.08.005 - SOLVENTE 228 LUKS GL;UNIDA;56;40;57;R$ 4.609;91;12;0%;R$ 2.688
31.23.031 - NOVA COR PISO VERDE LT;UNIDA;14;14;17;R$ 4.579;20;11;90%;R$ 3.420
07.12.004 - ROLO ANTI GOTA ATLAS 15 CM;UNIDA;208;208;249;R$ 4.572;79;11;90%;R$ 2.442
13.07.110 - KIT LATA CIMENTO QUEIMADO GAROA;UNIDA;2;2;4;R$ 4.497;14;11;70%;R$ 1.200
31.04.006 - ESMALTE METALATEX ECO ACET PRETO GL;UNIDA;36;36;36;R$ 4.470;96;11;60%;R$ 2.704
26.03.007 - SOLVENTE 8137 NATRIELLI 5L;UNIDA;10;10;48;R$ 4.357;82;11;30%;R$ 2.230
02.05.001 - ROLO ANTI GOTA COMPEL 23 CM ZERO;UNIDA;230;224;258;R$ 4.343;65;11;30%;R$ 1.207
04.01.002 - TEXTURA ACRILICA DESIGNER ANDRAPAR 25KG  - 10 M|;UNIDA;29;29;75;R$ 4.339;73;11;30%;R$ 2.805
13.07.073 - TEXTURA CROMANIL RELEVO  GL;UNIDA;15;15;20;R$ 4.301;86;11;20%;R$ 440
12.02.001 - ESMALTE CORAL ACETINADO BRANCO SECAGEM RAPIDA GL;UNIDA;58;34;42;R$ 4.275;4;11;10%;R$ 2.900
31.11.006 - METALATEX FSC  TERRA COTA LT;UNIDA;7;7;12;R$ 4.268;76;11;10%;R$ 3.013
99.99.998 - KIT CIMENTO QUEIMADO 1/4 NUVENS DE CHUVA;UNIDA;1;33;37;R$ 4.249;4;11;0%;R$ 3.866
11.03.110 - SPRAY USO GERAL PRETO FOSCO;UNIDA;130;130;198;R$ 4.234;16;11;0%;R$ 2.513
13.07.060 - TEXTURA CROMANIL  TOSCANA 1/4;UNIDA;42;42;48;R$ 4.190;74;10;90%;R$ 1.571
ZZ.SW.000 - POMBA BRANCA - XY - SHERWIN - M-LTX REQUINTE SUPER;LATA;1687;5;9;R$ 4.187;10;10;90%;R$ 2.971
13.09.013 - VERNIZ ACRILICO ACETINADO CROMANIL 900 ML;UNIDA;117;117;135;R$ 4.038;92;10;50%;R$ 1.442
ZZ.SV.000 - OVELHA - A2 - SELFCOLOR - FOSCO COMPLETO;16L;1574;7;11;R$ 3.967;61;10;30%;R$ 2.927
ZZ.SV.000 - ELEFANTE - B2 - SELFCOLOR - FOSCO COMPLETO;16L;1574;18;19;R$ 3.962;5;10;30%;R$ 2.877
25.11.020 - SUVINIL RENDE MUITO LATA;UNIDA;15;15;15;R$ 3.905;26;10;10%;R$ 3.455
13.05.007 - CROMANIL FSC ANIL INTENSO 3 1/4;UNIDA;78;36;40;R$ 3.872;47;10;10%;R$ 1.229
