Produtos;Embal;Operacoeses Comerciais;Itens Vendidos;Quantidade;Valor;% Part.;Custo Total;$ Lucrativ.;% Lucrativ.
ZZ.SW.000 - TELHA COLONIAL - Z - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 157;4;0;40%;R$ 94
ZZ.SW.000 - CANION DO ITAIMBEZINHO - Z - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 157;1;0;40%;R$ 93
ZZ.SW.000 - BERLOQUE ELEGANTE - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 156;86;0;40%;R$ 80
ZZ.SV.000 - PRATA BALI - A2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;1;1;R$ 156;77;0;40%;R$ 105
ZZ.SH.000 - BAIA DE CORAL - LANGUAGE OF COLORS - - DECORA SEDA AC;3.2L;231;1;1;R$ 156;70;0;40%;R$ 93
ZZ.SW.000 - SAL MARINHO - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 156;64;0;40%;R$ 91
ZZ.SV.000 - AZUL-GLACIAL - B2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 156;60;0;40%;R$ 91
ZZ.SV.000 - ESPUMA GELADA - A2 - SELFCOLOR - ESMALTE SECA RAPIDO;3.2L;1574;2;2;R$ 156;54;0;40%;R$ 156
ZZ.SH.000 - ALGODAO EGIPCIO - RM - READY MIX - DECORA MATTE FO;3.2L;231;2;2;R$ 155;60;0;40%;R$ 87
ZZ.SV.000 - PEROLA - A2 - READY MIX - ESMALTE SECA RAPIDO;3.2L;1574;2;2;R$ 155;14;0;40%;R$ 105
07.15.011 - TRINCHA ATLAS AT340 21/2 ANGULAR;UNIDA;5;5;5;R$ 155;9;0;40%;R$ 78
ZZ.SW.000 - NOITE ILUSTRADA - W - SHERWIN - M-LTX ACR FS;QUART;1687;2;3;R$ 154;97;0;40%;R$ 189
ZZ.SV.000 - CADEIRA DE BALANCO - B2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;1;1;R$ 154;89;0;40%;R$ 102
ZZ.SV.000 - K105 - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 154;70;0;40%;R$ 103
ZZ.SW.000 - AZEITE TRUFADO - VY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 154;66;0;40%;R$ 87
ZZ.SH.000 - FIGO VERDE - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 154;50;0;40%;R$ 91
ZZ.SW.000 - BOM HUMOR - Z - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 153;97;0;40%;R$ 99
ZZ.SW.000 - INFINITO - W - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 153;93;0;40%;R$ 92
35.01.003 - DACAR GESSO LATA;LATA;1;1;1;R$ 153;90;0;40%;R$ 102
ZZ.SV.000 - FOLHA SECA - A2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 153;48;0;40%;R$ 110
ZZ.SW.000 - VERDE COLONIAL - W - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;1;1;R$ 153;48;0;40%;R$ 96
ZZ.SW.000 - ROSA EXUBERANTE - W - SHERWIN - M-LTX REQUINTE SUPER;QUART;1687;2;3;R$ 153;36;0;40%;R$ 87
ZZ.SV.000 - MENTA - A2 - READY MIX - FOSCO COMPLETO;3.2L;1574;2;2;R$ 153;33;0;40%;R$ 130
ZZ.SH.000 - LARANJA CHINATOWN * - LANGUAGE OF COLORS - - DECORA MATTE FO;800ML;231;1;2;R$ 153;20;0;40%;R$ 79
ZZ.SV.000 - CAMURCA - B2 - READY MIX - TOQUE DE SEDA;3.2L;1574;1;1;R$ 153;14;0;40%;R$ 100
ZZ.SH.000 - CAMINHO DE CASA - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;2;2;R$ 153;10;0;40%;R$ 86
ZZ.SW.000 - MAR ADENTRO - Z - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 153;10;0;40%;R$ 97
ZZ.SH.000 - ROSA PATINA - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 152;80;0;40%;R$ 84
ZZ.SW.000 - GRAND CANAL SW 6488 CLR MET ACR FOSCO - COLOR METALATEX ACRI;3.2L;1687;1;1;R$ 152;77;0;40%;R$ 89
11.03.042 - SPRAY ARTE URBANA MAGENTA;UNIDA;6;6;7;R$ 152;74;0;40%;R$ 102
32.02.001 - BI-ROLLER;UNIDA;6;6;6;R$ 152;21;0;40%;R$ 68
13.05.019 - CROMANIL ACR FOSCO PREMIUM BRANCO 1/4;UNIDA;165;4;5;R$ 152;12;0;40%;R$ 44
21.06.014 - MASSA F12 MARFIM 1/16;UNIDA;6;6;12;R$ 151;86;0;40%;R$ 61
38.01.008 - LIMPA PEDRAS SANOL PRO 5LT;UNIDA;1;1;2;R$ 151;80;0;40%;R$ 88
ZZ.SW.000 - CINZA TECNOLOGICO - XY - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;2;2;R$ 151;71;0;40%;R$ 85
21.08.008 - VELADURA IPE;UNIDA;11;11;11;R$ 151;70;0;40%;R$ 97
ZZ.SH.000 - NEVOA DE GRAMADO - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 151;70;0;40%;R$ 82
ZZ.SW.000 - VENTO LEVOU - Z - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;3;3;R$ 151;68;0;40%;R$ 93
ZZ.SV.000 - ESTRELA INTENSA - C2 - SELFCOLOR - ESMALTE SECA RAPIDO;800ML;1574;2;2;R$ 151;60;0;40%;R$ 95
ZZ.SW.000 - MATA NATIVA - Z - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 151;41;0;40%;R$ 89
32.01.020 - FELTRO SINTETICO QUADRADO PRETO 4422;UNIDA;10;10;12;R$ 151;33;0;40%;R$ 41
ZZ.SV.000 - FLAMBOYANT - C2 - SELFCOLOR - TOQUE DE SEDA;800ML;1574;1;2;R$ 151;1;0;40%;R$ 96
ZZ.SV.000 - BABOSA - B2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;3;3;R$ 150;70;0;40%;R$ 84
05.09.004 - WASH PRIMER 1/4;UNIDA;10;4;4;R$ 150;62;0;40%;R$ 159
02.01.004 - BROXA COMPEL MADEIRA 20X60X170;UNIDA;12;9;10;R$ 150;60;0;40%;R$ 30
31.04.018 - ESMALTE METALATEX ECO BRILH VERMELHO 1/4;UNIDA;4;4;4;R$ 150;60;0;40%;R$ 65
ZZ.SV.000 - AZUL-MARINHO - C2 - SELFCOLOR - TOQUE DE SEDA;800ML;1574;2;2;R$ 150;58;0;40%;R$ 94
ZZ.SW.000 - CINZA TECNOLOGICO - Z - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;1;1;R$ 150;35;0;40%;R$ 84
ZZ.SW.000 - ARRANHA-CEU - Z - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;1;1;R$ 149;63;0;40%;R$ 91
ZZ.SW.000 - BUGIGANGA - VY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 149;58;0;40%;R$ 76
ZZ.SW.000 - LARANJA INTENSO - VY - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 149;45;0;40%;R$ 99
ZZ.SW.000 - COUVE-VERDE - W - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 149;44;0;40%;R$ 90
06.03.003 - PILHA C ENERGIZER MAX;UNIDA;3;3;7;R$ 149;30;0;40%;R$ 93
ZZ.SW.000 - MELODIA NO JARDIM - VY - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;3;4;R$ 149;22;0;40%;R$ 85
ZZ.SW.076 - CLR MET ES E - ACETINADO - W;800ML;6;6;6;R$ 149;19;0;40%;R$ 82
02.01.023 - MEXEDOR DE FERRO COMPEL 2911;UNIDA;5;5;5;R$ 149;13;0;40%;R$ 47
ZZ.SH.000 - BRANCO CRU - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 149;10;0;40%;R$ 80
ZZ.SV.000 - ANDAR COM FE - C2 - SELFCOLOR - ESMALTE SECA RAPIDO;800ML;1574;1;2;R$ 149;2;0;40%;R$ 93
ZZ.SW.000 - REDE COMPARTILHADA - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 148;37;0;40%;R$ 131
ZZ.SW.000 - BRANCO COLONIAL - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 148;28;0;40%;R$ 85
ZZ.SV.101 - MASSA PARA EFS / EF MARMOR 2.88;2.88L;1;1;1;R$ 148;3;0;40%;R$ 82
16.03.015 - LIXA DE FERRO  N| 040;UNIDA;13;1;40;R$ 148;0;0;40%;R$ 71
34.01.038 - VIAPLUS REPARO 12KG;UNIDA;1;1;1;R$ 148;0;0;40%;R$ 82
ZZ.SV.000 - AZUL-PROFUNDO - C2 - SELFCOLOR - TOQUE DE SEDA;800ML;1574;1;2;R$ 148;0;0;40%;R$ 91
ZZ.SW.000 - CASTANHO ALAZAO - XY - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;2;4;R$ 148;0;0;40%;R$ 81
21.08.018 - MASSA COLA TRINCA 1;5KG;UNIDA;6;6;6;R$ 147;69;0;40%
ZZ.SW.000 - INSENSATA PAIXAO - W - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 147;62;0;40%;R$ 87
ZZ.SV.000 - EXPLOSAO DE ESTRELA* - C2 - CORAL - FOSCO COMPLETO;800ML;1574;1;2;R$ 147;55;0;40%;R$ 82
ZZ.SW.000 - SOSSEGO DA ALMA - E - SHERWIN - NOVACOR ACR FS;GALAO;1687;2;2;R$ 147;40;0;40%;R$ 88
ZZ.SH.000 - EXPEDICAO MARITIMA - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 147;30;0;40%;R$ 81
09.01.002 - ACIDO DE LIMPEZA GL;UNIDA;2;2;3;R$ 146;85;0;40%;R$ 64
ZZ.SW.000 - CINZA GRANITO - XY - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 146;75;0;40%;R$ 88
ZZ.SW.000 - MINERAL VALIOSO - Z - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 146;69;0;40%;R$ 87
ZZ.SV.000 - RAIO SOLAR - C2 - SELFCOLOR - ESMALTE COR & PROTEC;800ML;1574;2;2;R$ 146;58;0;40%;R$ 77
ZZ.SW.000 - PEPITA DE BISMUTO - E - SHERWIN - NOVACOR ACR FS;GALAO;1687;1;2;R$ 146;52;0;40%;R$ 88
ZZ.SV.000 - BOSSA NOVA - B2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;3;3;R$ 146;46;0;40%;R$ 85
ZZ.SW.000 - PRETO - W - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;1;1;R$ 146;42;0;40%;R$ 88
ZZ.SW.000 - REALEZA AZUL - W - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;1;1;R$ 146;34;0;40%;R$ 91
07.03.004 - OCULOS DE PROTECAO ATLAS INCOLOR;UNIDA;12;11;12;R$ 146;31;0;40%;R$ 59
ZZ.SV.000 - SW 7014 - A2 - SHERWIN WILLIAMS - TOQUE DE SEDA;3.2L;1574;1;1;R$ 145;86;0;40%;R$ 97
ZZ.SV.000 - SUCO-VERDE - A2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;2;2;R$ 145;82;0;40%;R$ 77
31.20.002 - TEXTURA ACRILICA METALATEX  LT;UNIDA;1;1;1;R$ 145;80;0;40%;R$ 107
ZZ.SV.000 - BANANA COM ACUCAR - A2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 145;39;0;40%;R$ 137
ZZ.SV.000 - VERDE-SILENCIOSO - A2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 145;32;0;40%;R$ 94
31.05.020 - ESMALTE NOVA COR BRILH AZUL DEL REY  1/4 LUKS;UNIDA;6;5;6;R$ 145;20;0;40%;R$ 90
ZZ.SW.000 - VERDE COLONIAL - W - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 145;12;0;40%;R$ 87
25.09.017 - TELA FIX 100X30X5;UNIDA;2;2;5;R$ 145;0;0;40%;R$ 71
ZZ.SH.000 - CINZA PROFUNDO - LANGUAGE OF COLORS - - CORALIT ULTRA RESIST;3.2L;231;2;2;R$ 145;0;0;40%;R$ 82
ZZ.SW.000 - CINZA DORICO - XY - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;2;3;R$ 144;62;0;40%;R$ 79
ZZ.SW.000 - GRAO DE AREIA - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 144;58;0;40%;R$ 91
ZZ.SW.000 - GRUTA MISTERIOSA - W - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;1;1;R$ 144;54;0;40%;R$ 86
ZZ.SV.000 - GALHO SECO - B2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;3;3;R$ 144;48;0;40%;R$ 77
07.01.025 - ESPATULA  ATLAS  6255 ACO CROMADO 7;6CM;UNIDA;50;10;10;R$ 144;37;0;40%
07.01.004 - BROXA ATLAS MEDIA N§ 1;UNIDA;21;10;10;R$ 144;18;0;40%;R$ 28
38.01.001 - LIMPA CERAMICA SANOL PRO 1LT;UNIDA;8;8;8;R$ 144;0;0;40%;R$ 52
ZZ.SW.000 - LAJOTA COLONIAL - W - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;1;1;R$ 144;0;0;40%;R$ 91
ZZ.SW.000 - SWEEPING BLUE - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 143;97;0;40%;R$ 84
02.05.001 - ROLO ANTI GOTA ZERO 23 CM COMPEL;UNIDA;230;7;9;R$ 143;86;0;40%;R$ 35
ZZ.SW.000 - ESTRATEGIA MILITAR - W - SHERWIN - M-LTX ESM ECO ACET;QUART;1687;3;3;R$ 143;81;0;40%;R$ 78
ZZ.SW.000 - CAFE GELADO - Z - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 143;80;0;40%;R$ 85
32.01.026 - LIXADEIRA TALENTOS;UNIDA;4;4;4;R$ 143;70;0;40%;R$ 67
ZZ.SW.000 - PRIMER P6 - F - SHERWIN - NOVACOR ACR FS;GALAO;1687;3;3;R$ 143;55;0;40%;R$ 81
ZZ.SH.000 - RAPADURA NORDESTINA - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 143;46;0;40%;R$ 91
ZZ.SW.000 - DIMINUTIVE PINK - XY - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 143;41;0;40%;R$ 81
31.05.021 - ESMALTE NOVA COR BRILH AZUL DEL REY 1/16;UNIDA;11;11;11;R$ 143;40;0;40%;R$ 66
ZZ.SW.000 - A TARDE - XY - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;2;2;R$ 143;34;0;40%;R$ 88
ZZ.SV.000 - PRETO ABSOLUTO - C2 - SELFCOLOR - ESMALTE SECA RAPIDO;3.2L;1574;1;1;R$ 143;13;0;40%;R$ 99
ZZ.SW.000 - AR DA MONTANHA - XY - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 143;1;0;40%;R$ 80
ZZ.SV.000 - ANDAR COM FE - C2 - SELFCOLOR - ESMALTE COR & PROTEC;800ML;1574;1;2;R$ 142;96;0;40%;R$ 88
ZZ.SW.000 - DELICIA DE VERAO - Z - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 142;94;0;40%;R$ 89
ZZ.SW.000 - VERDE SINGULAR - XY - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;1;1;R$ 142;81;0;40%;R$ 85
ZZ.SV.000 - BARRO VERMELHO - C2 - SELFCOLOR - ESMALTE SECA RAPIDO;3.2L;1574;1;1;R$ 142;74;0;40%;R$ 97
ZZ.SW.000 - ROSA AMAVEL - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 142;34;0;40%;R$ 80
ZZ.SW.000 - VERDE ENVELHECIDO - W - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;1;1;R$ 142;28;0;40%;R$ 92
ZZ.SW.000 - FLORA BRASILEIRA - VY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 142;20;0;40%;R$ 86
ZZ.SW.000 - OURO-VERDE - VY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 142;15;0;40%;R$ 77
ZZ.SV.000 - CACAU DA BAHIA - B2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 141;89;0;40%;R$ 93
07.01.042 - ESTILETE COMUM 18MM BRASFORT/ ATLAS;UNIDA;24;19;19;R$ 141;78;0;40%;R$ 30
ZZ.SW.000 - AZUL SURREAL - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 141;78;0;40%;R$ 80
ZZ.SW.000 - CONCRETO - Z - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;2;2;R$ 141;61;0;40%;R$ 121
12.03.016 - MASSA ACRILICA CORAL LATA 25KG;UNIDA;15;1;1;R$ 141;52;0;40%;R$ 53
ZZ.SW.000 - BRANCO RELUZENTE - E - SHERWIN - NOVACOR ACR FS;GALAO;1687;1;2;R$ 141;52;0;40%;R$ 80
ZZ.SW.000 - ESTRATEGIA MILITAR - W - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 141;26;0;40%;R$ 83
ZZ.SW.000 - ENSEADA VERDE - W - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;1;1;R$ 141;24;0;40%;R$ 85
34.01.012 - VIABIT GL;UNIDA;7;2;2;R$ 141;12;0;40%;R$ 103
ZZ.SV.000 - OVELHA - MARMOR2 - SELFCOLOR - MASSA PARA EFEITOS /;2.88L;1574;1;1;R$ 140;96;0;40%;R$ 78
ZZ.SW.000 - LAGO AZUL - F - SHERWIN - NOVACOR ACR FS;GALAO;1687;1;1;R$ 140;92;0;40%;R$ 85
32.01.025 - FELTRO SINTETICO RETANGULAR PRETO 4443;UNIDA;5;5;6;R$ 140;90;0;40%;R$ 42
ZZ.SV.000 - JARDIM NOTURNO - C2 - SELFCOLOR - ESMALTE SECA RAPIDO;800ML;1574;3;3;R$ 140;88;0;40%;R$ 84
ZZ.SW.000 - QUINOA - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 140;77;0;40%;R$ 82
05.07.003 - MASSA RAPIDA CINZA ANJO 1/4;UNIDA;3;3;5;R$ 140;66;0;40%;R$ 62
ZZ.SW.000 - DESTINO - Z - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 140;60;0;40%;R$ 85
ZZ.SW.000 - C-70BG 09/171 - W - SHERWIN - NOVO M-LTX ACR FS;QUART;1687;2;2;R$ 140;54;0;40%;R$ 77
ZZ.SW.000 - LARANJA DETERMINADO - VY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 140;49;0;40%;R$ 79
ZZ.SW.000 - ALPACA SW 7022 MET ACR FOSCO - METALATEX ACRILICO;3.2L;1687;2;2;R$ 140;34;0;40%;R$ 104
ZZ.SW.000 - TOQUE DE AREIA - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 140;27;0;40%;R$ 87
02.01.008 - ESPATULA LISA 8CM;UNIDA;23;23;24;R$ 140;20;0;40%;R$ 24
ZZ.SV.000 - ACAMPAMENTO NA SELVA - C2 - SELFCOLOR - TOQUE DE SEDA;800ML;1574;1;2;R$ 140;18;0;40%;R$ 86
25.09.006 - FITA ISOLANTE 19 X 10M;UNIDA;23;23;24;R$ 140;12;0;40%;R$ 77
ZZ.SV.000 - AZUL-INFINITO - B2 - SELFCOLOR - ESMALTE MULTISUPERFI;800ML;1574;1;2;R$ 140;8;0;40%;R$ 73
02.03.008 - ROLO ESPUMA COMPEL 09 CM AMARELO;UNIDA;29;29;47;R$ 140;2;0;40%;R$ 57
07.15.027 - TRINCHA ATLAS AT215 SEDA  2 1/2;UNIDA;11;4;4;R$ 140;0;0;40%;R$ 57
12.03.096 - CORAL DECORA GL;UNIDA;12;1;1;R$ 140;0;0;40%;R$ 79
ZZ.SV.000 - ERVA-DOCE - A2 - READY MIX - TOQUE DE SEDA;3.2L;1574;1;1;R$ 139;90;0;40%;R$ 140
ZZ.SV.000 - RELVA VERDE - C2 - CORAL - FOSCO COMPLETO;3.2L;1574;1;1;R$ 139;71;0;40%;R$ 92
ZZ.SV.000 - ALPES SUICOS - A2 - SELFCOLOR - TOQUE DE SEDA;3.2L;1574;1;1;R$ 139;53;0;40%;R$ 139
ZZ.SH.000 - ROSA VALENTIM - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 139;50;0;40%;R$ 77
ZZ.SV.000 - MEIA-LUZ - A2 - SELFCOLOR - TOQUE DE SEDA;800ML;1574;2;2;R$ 139;50;0;40%;R$ 75
ZZ.SV.000 - P154 - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 139;50;0;40%;R$ 89
25.03.016 - SUPER BONDER 5 GR;UNIDA;11;11;11;R$ 139;44;0;40%;R$ 60
"33.04.017 - ESPATULA 2151 11/2"" ACO POLIDO TIGRE;UNIDA;11;11;11; R$ 139";35;0;40%;R$ 46;97;R$ 92;38;19667;90%
ZZ.SW.000 - CHAMEGO - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;2;2;R$ 139;33;0;40%;R$ 85
ZZ.SH.000 - CASTELO DE AREIA - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 139;19;0;40%;R$ 80
"33.05.017 - TRINCHA TIGRE 696 2""1/2;UNIDA;9;9;11; R$ 138";99;0;40%;R$ 155;54;-R$ 16;55;-1064;0%
ZZ.SW.000 - CALIPSO - Z - SHERWIN - M-LTX REQUINTE SUPER;QUART;1687;2;2;R$ 138;34;0;40%;R$ 78
ZZ.SH.000 - CINZA MONTANHA - LANGUAGE OF COLORS - - DECORA MATTE FO;800ML;231;3;3;R$ 138;30;0;40%;R$ 74
12.03.006 - WANDEPOXY CATALISADOR BASE;UNIDA;1;1;2;R$ 138;0;0;40%;R$ 75
ZZ.SV.000 - FOLHA DE CHA VERDE - C2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;1;2;R$ 137;98;0;40%;R$ 75
ZZ.SV.000 - AZUL DEL REY (PAD. EBA) - C2 - READY MIX - FOSCO COMPLETO;800ML;1574;1;2;R$ 137;90;0;40%;R$ 90
37.01.005 - BOTINA DE ELASTANO 42;UNIDA;2;2;2;R$ 137;76;0;40%;R$ 67
ZZ.SV.000 - PRETO FLORESTA - C2 - CORAL - FOSCO COMPLETO;3.2L;1574;1;1;R$ 137;68;0;40%;R$ 88
ZZ.SW.000 - BOMBOCADO - VY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 137;62;0;40%;R$ 81
ZZ.SW.000 - ESTRADA A FORA - Z - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 137;50;0;40%;R$ 84
ZZ.SV.000 - DUBAI - A2 - READY MIX - FOSCO COMPLETO;800ML;1574;3;3;R$ 137;40;0;40%;R$ 94
ZZ.SH.000 - AMARELO MARGARIDA - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 137;30;0;40%;R$ 75
ZZ.SW.000 - CINZA ELEFANTE - Z - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 137;12;0;40%;R$ 84
ZZ.SH.000 - AREIA DO SAARA - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 136;70;0;40%;R$ 74
ZZ.SW.000 - DOVER WHITE - XY - SHERWIN - M-LTX REQUINTE SUPER;GALAO;1687;1;1;R$ 136;67;0;40%;R$ 80
ZZ.SV.000 - PETUNIA ROSA - A2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 136;65;0;40%;R$ 97
ZZ.SW.000 - MARQUIS ORANGE - VY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 136;62;0;40%;R$ 81
33.04.010 - ROLO RESIFACIL TIGRE 15 CM;UNIDA;6;6;7;R$ 136;50;0;40%;R$ 40
31.05.023 - ESMALTE NOVA COR BRILH AZUL FRANCA 1/16;UNIDA;10;10;11;R$ 136;38;0;40%;R$ 58
ZZ.SW.000 - LANCA-DE-SAO-JORGE - VY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 136;32;0;40%;R$ 121
ZZ.SW.000 - CASCA DE LARANJA SW 6636 MET ACR FOSCO - METALATEX ACRILICO;3.2L;1687;1;1;R$ 136;21;0;40%;R$ 74
ZZ.SW.000 - BURGUNDY - W - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 136;8;0;40%;R$ 85
ZZ.SW.000 - HOLLAND TILE - Z - SHERWIN - M-LTX ESM SINT ACET;GALAO;1687;1;1;R$ 136;4;0;40%;R$ 81
ZZ.SV.000 - CROISSANT - A2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 135;92;0;40%;R$ 97
34.01.014 - VIAFIX (BIANCO) 18 KG;UNIDA;1;1;1;R$ 135;90;0;40%;R$ 78
ZZ.SV.000 - SORVETE DE PESSEGO - B2 - SELFCOLOR - TOQUE DE SEDA;800ML;1574;2;2;R$ 135;83;0;40%;R$ 82
16.03.026 - LIXA MASSA 80;UNIDA;176;18;85;R$ 135;80;0;40%;R$ 55
ZZ.SV.000 - REDE DE DORMIR - C2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 135;61;0;40%;R$ 87
ZZ.SV.000 - SELVA - B2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 135;58;0;40%;R$ 98
ZZ.SH.000 - TREVO PALIDO - LANGUAGE OF COLORS - - DECORA MATTE FO;3.2L;231;1;1;R$ 135;50;0;40%;R$ 75
ZZ.SV.000 - PLANETA AZUL - B2 - SELFCOLOR - FOSCO COMPLETO;3.2L;1574;1;1;R$ 135;47;0;40%;R$ 88
ZZ.SH.000 - DIA DE CHUVA - LANGUAGE OF COLORS - - CORALIT SECAGEM RAPI;3.2L;231;1;1;R$ 135;40;0;40%;R$ 78
31.24.009 - VERNIZ SW FILTRO SOLAR ACETINADO MOGNO GL;UNIDA;1;1;1;R$ 135;0;0;40%;R$ 69
ZZ.SW.000 - DELICIA DE ABACAXI - XY - SHERWIN - M-LTX ESM ECO ACET;GALAO;1687;2;2;R$ 134;97;0;40%;R$ 76
ZZ.SV.000 - EXPEDICAO MARITIMA - A2 - CORAL - FOSCO COMPLETO;3.2L;1574;1;1;R$ 134;89;0;40%;R$ 96
ZZ.SV.000 - AZUL-PROFUNDO - C2 - SELFCOLOR - FOSCO COMPLETO;800ML;1574;1;2;R$ 134;68;0;30%;R$ 87
ZZ.SV.000 - CROMIO - A2 - SELFCOLOR - ESMALTE SECA RAPIDO;800ML;1574;2;3;R$ 134;61;0;30%;R$ 67
ZZ.SW.000 - ROSA CHARMOSA - XY - SHERWIN - NOVO M-LTX ACR FS;GALAO;1687;1;1;R$ 134;60;0;30%;R$ 75
